20853332,153602602 2018642088 2573551016 2133983782 ,167016754 1480538416 1580049798 1992396639 2003603259 2032210760 2058732827 2071480959 2077513643 2096520669 2098576843 2103000819 2104955141 2107490382 2108598243 2112076978 2118585731 2120396754 2134987394 2137441266 2156909104 2157791002 2164598857 2171188998 2570929519 2912934387 
21207210,2126135973 2527611484 2100308201 2940493083 2492806152 2119244895 ,2184397845 
25321933,2106500497 ,131378802 1549918636 1970554427 1986080131 2006262045 2016910236 2038082462 2096199223 2100556411 2110505738 2118080949 2135779729 2164278908 2164301055 2166947501 2205628031 2510516734 2963198961 2964064266 
27434444,92438100 2073631992 1531155176 2074453466 ,88685657 180686687 1585701772 1982381767 2005140191 2017753243 2046995465 2084544490 2109339818 2114609025 2138263042 2139338362 2148825261 2154952480 2156909104 2162341153 2964020133 
27675589,225657202 1809196549 ,136290230 150235323 1497499643 1511986666 1857926807 1969735849 2054279472 2095844239 2096920988 2099608971 2104650092 2109189215 2116877738 2120340025 2130184048 2130248603 2137853299 2147102238 2159992248 2161236525 2167219413 2171650716 
28516297,2134830209 2291132764 2150814284 ,1944672 146018178 200927961 1527666879 1538493107 1553313034 1570963478 1691567762 1975846642 1980264541 1982649163 1988790447 2008652694 2009985472 2016717966 2017031328 2032210760 2105644991 2105842272 2109339818 2121127625 2125529971 2128092251 2129259959 2132726600 2141407058 2147270516 2147880316 2148742679 2152540201 2168189154 2169401877 2611627047 2912934387 
31172611,2216252091 2143089062 ,58673994 857387926 1546318054 1605711022 1936234780 2004531067 2014259951 2016776056 2024128809 2055107590 2062307640 2079035346 2088196309 2090304146 2107411554 2111040408 2127048411 2131717044 2145799156 2166602562 2167026441 2951006210 2964004997 
33832734,2679955349 2239241780 ,1516111018 1746819321 1992419399 2001572836 2070195804 2095849032 2097645701 2098949458 2111683289 2114355534 2115657355 2181643798 
33870844,2936186189 2130043413 2974619611 ,71452225 985009302 1646506067 1914219707 1920328734 1983599491 1984274769 2020944503 2055586095 2063386797 2096032893 2096765209 2097839764 2098728436 2100348027 2100658528 2113362355 2116589987 2118871591 2120137102 2121308062 2127069950 2127658298 2128035438 2130698119 2132333011 2133956794 2133958955 2139338362 2142387771 2145295623 2146722014 2147197303 2153631847 2154420049 2156291289 2158978974 2159067232 2164535072 2169769141 2171188027 2538008885 2913088541 2951654630 
35527955,2108106141 2149153931 ,71795751 1904365287 2057853719 2088538739 2102294561 2111406701 2113459411 2132166724 2154359981 2158542502 2163614729 2167216307 2294059674 2618530766 
38425204,2112199944 2139093703 2109451195 ,1512149552 1580216809 1746819321 1973310094 2040726420 2098949458 2099768828 2108966602 2112545207 2123687908 2128638437 2182365035 
38875623,2106500497 ,25321933 1549918636 1791038712 1890144115 1939652453 1970554427 1979347854 2038082462 2096199223 2106728335 2118080949 2120350480 2135779729 2164278908 2164301055 2205628031 2510516734 2950025208 2963198961 2963632834 2964064266 
41179353,2169037906 2443967568 261262978 2140422315 ,1483531051 1519655822 1537145174 1581174728 2031696998 2039844283 2085040216 2097939965 2113526703 2135029798 2144920235 2145295623 2149273154 2153935449 2155758585 2167874303 2169779569 2963923362 
43873609,962403673 2171686691 ,1511986666 1560796813 1737520604 1829360078 1880262756 1981651876 2014565165 2078058974 2103581346 2115511080 2116658704 2120340025 2124428910 2134134392 2140756703 2149960632 2151322733 2151454335 2161260504 2169336678 2294384375 2912854634 2950265833 2952609396 2953337630 2963018013 
