607462674,1970886097 306431511 ,1534776754 1907066207 1924552359 1965305672 1967053725 1976532520 1992358283 2001390602 2008338741 2011475289 2022596562 2044465660 2047671678 2051068139 2076415419 2094773601 2102796633 2104565665 2111873430 2122759487 2123625324 2133295669 2138087096 2149064334 2150817856 2151343288 2151532442 2158363907 2163352848 2167020116 2167075312 
610429473,2157522220 2106183752 2298967927 2763165514 2022325346 ,316503321 319853040 1677409904 1705975472 1975336500 1975819485 1976948919 1994925424 2009088607 2009441118 2030098377 2036565334 2039140324 2044730627 2066454034 2103077782 2106488920 2118664399 2131081720 2135964285 2137659841 2137802466 2145287260 2146656095 2151451863 2155893237 2161969291 2163352848 2171011203 
623374258,2511692926 303170550 1975775799 ,302291682 1610707153 1966859894 2015882799 2016053056 2017814585 2019590454 2053229256 2055194732 2064675550 2066941820 2070148066 2072128103 2098411764 2102605133 2111560940 2116227464 2117539524 2125560515 2125849446 2144172034 2144332305 2147238549 2148596671 2154209944 2155893237 2162915993 2169488311 2170942820 2177274842 2536208356 2538008885 2618530766 2950956209 2952309299 
623540751,2107487971 146308115 2426658625 ,137892788 1525964067 1969100482 1970891762 1994173314 2034729566 2044966771 2060280062 2062036973 2066916895 2086504823 2092549804 2108444897 2115203491 2126680226 2126952237 2129445939 2151458682 2160754664 2171330332 2408022155 
635933821,2704415356 2155788667 2112604340 2127219702 1972492785 2713232940 ,1511335166 1564277727 1969204685 2006671292 2007926292 2042184006 2048332710 2100380725 2116470445 2130606707 2144086405 2152034960 2163584563 
646598831,2924153775 202662321 2916110991 ,1494198834 1578929648 1970088130 1976066595 1988088279 2000149402 2000801545 2001810638 2027192823 2035732044 2041823554 2056403322 2073499295 2075397216 2084253467 2085628288 2086670237 2087589285 2097732741 2118585731 2121415728 2130352044 2132555391 2150769028 2171155529 2228614826 2251246673 2394851080 2395750323 
650677643,2441931185 2946859731 2138592106 ,1561782558 1588602390 1993652452 2011058239 2016327746 2018867844 2022476163 2028281835 2038176251 2040270931 2041404167 2053349480 2054968871 2071576700 2087588152 2096474340 2104335344 2105375534 2120861453 2126680226 2130017751 2149516292 2151066636 2151458682 2152115238 2542803194 
651404864,2684057596 2629148486 2147718791 ,117491841 1488125194 1964883574 1973772835 2001297828 2004663190 2008806374 2014286161 2020535092 2027883219 2029189646 2041086484 2065042463 2069816967 2083954025 2099563413 2115587436 2131163834 2131447359 2131673214 2137718414 2139228999 2142082467 2142159465 2145023731 2145057702 2161969291 2166949156 2246884145 
747418368,1723882514 1971876915 258834860 2092411937 2145653005 ,65248374 1480708938 1808256548 1972310704 1998667615 2007188496 2016553979 2021943136 2026486079 2030085475 2032481801 2044966771 2053841470 2057012389 2060280062 2069391763 2073605108 2074852221 2075779886 2096691069 2099641086 2100086166 2118718620 2121147465 2123441153 2124688298 2126952237 2127117841 2129812935 2132467081 2147815065 2150563191 2152115238 2153663612 2160754664 2172156083 2286246339 
758560933,1984723189 2042301190 ,1510601647 1510982829 1828472411 1963854021 1963932623 1969316799 1974210421 1993766142 2009441118 2016485878 2020944503 2027805700 2030754587 2033419168 2034438009 2043692521 2043881395 2060487848 2060731032 2065379720 2066332159 2066941820 2082161064 2087097103 2088575594 2088843485 2093922090 2094248163 2096044434 2101392314 2102570318 2103943262 2104320981 2105026179 2107357180 2115394472 2115941714 2120100419 2122158102 2129812935 2131846894 2132467081 2132620402 2135880122 2135964285 2137659841 2141607429 2144583419 2145310492 2156503193 2157785665 2163808566 2166742463 2170264031 2294965353 2296399167 2542090448 
766298144,2146991767 ,202537840 1565749941 1580980576 1980238422 1996966626 2001537709 2004858482 2026605281 2033707993 2056988391 2061655117 2068521782 2071555787 2105121197 2119821739 2153635508 2211464070 
768904567,2107897798 2404761383 242742739 2060039618 2095834727 ,1521257227 1575201818 1976312809 2047503499 2058181149 2067976034 2099204199 2101221989 2102639289 2106932631 2116854034 2118651798 2118955868 2119565742 2119738171 2125165932 2133473621 2134807578 2144961093 2149323767 2149940198 2154051144 2168317269 2169166781 2544855198 
774799944,2585119703 2663891038 ,1606858007 1648628932 1959000896 1981613567 2012899881 2048679005 2105102731 2107008379 2122808326 2128614648 2139823104 2140002156 2148596671 2150571057 2151103935 2153635508 2153927146 2155319834 2155904486 2166742463 2171896402 2215421138 2538008885 2949506375 
775667422,2420887148 2168860362 2143675271 2048719660 ,1512571642 1597141413 1757705478 1964601719 1969158966 1983705526 2017099115 2021122545 2024618054 2030849101 2036163530 2038864232 2054904291 2057175746 2059393299 2074781138 2075505763 2080067164 2085367731 2099789128 2108158822 2114545962 2130608009 2131970932 2151103935 2151716941 2152106040 2160392092 2160754664 2164311347 2165414070 2408610202 2552476815 2618530766 
792636309,2601545093 1982262368 2132885473 664482476 2603590199 ,1502252694 1639104204 1899587360 1974954013 1995215698 2084401789 2098134542 2111978009 2112411253 2121919987 2129534965 2134756983 2167685945 2168005337 
821549425,2078454212 2146387448 2195679122 76530380 2150454853 ,1545046063 1620589732 1664049007 1968487420 1997888319 2014706377 2045871908 2050874186 2066888771 2089390156 2091746061 2097450352 2118230268 2119821739 2121562595 2123745357 2135131618 2140647972 2149259880 2149684865 2151316819 2156481234 2161756767 2162752630 2170068989 2170355566 2408491073 2950773293 
826931093,2193149847 2119240469 2123850206 ,1545140005 1556302828 1594368566 1887734902 1982278701 1999320613 2014850105 2023288545 2049644338 2057068063 2057175746 2096306138 2096349671 2151103935 2158268505 2161969291 2169597617 
